,artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2147,Kaiser Chiefs,I Can Do It Without You,0.497,0.945,11,-1.85,0,0.036,0.00267,0,0.109,0.596,119.92,audio_features,02UDxlwFuZQ1xXzYHtXgzw,spotify:track:02UDxlwFuZQ1xXzYHtXgzw,https://api.spotify.com/v1/tracks/02UDxlwFuZQ1xXzYHtXgzw,https://api.spotify.com/v1/audio-analysis/02UDxlwFuZQ1xXzYHtXgzw,203160,4
2148,Spoon,Inside Out,0.621,0.62,0,-4.721,1,0.0293,0.459,0.162,0.0771,0.515,176.016,audio_features,7qCZgvV98j6RjUULW1s1it,spotify:track:7qCZgvV98j6RjUULW1s1it,https://api.spotify.com/v1/tracks/7qCZgvV98j6RjUULW1s1it,https://api.spotify.com/v1/audio-analysis/7qCZgvV98j6RjUULW1s1it,301960,4
2149,Blaze Foley,Clay Pigeons,0.714,0.36,0,-10.912,1,0.0357,0.115,0.000387,0.112,0.755,76.042,audio_features,0SUwJqGuQIP3mDBdtIWEzB,spotify:track:0SUwJqGuQIP3mDBdtIWEzB,https://api.spotify.com/v1/tracks/0SUwJqGuQIP3mDBdtIWEzB,https://api.spotify.com/v1/audio-analysis/0SUwJqGuQIP3mDBdtIWEzB,177653,4
2150,The Wild Feathers,Got It Wrong,0.487,0.908,0,-4.531,1,0.0357,0.00382,1.6e-06,0.104,0.541,128.351,audio_features,0U94oIEsGfuewYxFJm3eqE,spotify:track:0U94oIEsGfuewYxFJm3eqE,https://api.spotify.com/v1/tracks/0U94oIEsGfuewYxFJm3eqE,https://api.spotify.com/v1/audio-analysis/0U94oIEsGfuewYxFJm3eqE,204707,4
2151,Delta Spirit,Yamaha,0.437,0.499,1,-8.998,1,0.0286,0.319,0.854,0.0989,0.0555,120.067,audio_features,6i4T7CZeZKaBPor8EMCv8P,spotify:track:6i4T7CZeZKaBPor8EMCv8P,https://api.spotify.com/v1/tracks/6i4T7CZeZKaBPor8EMCv8P,https://api.spotify.com/v1/audio-analysis/6i4T7CZeZKaBPor8EMCv8P,264187,4
2152,Nothing But Thieves,If I Get High,0.441,0.57,4,-5.584,1,0.032,0.0104,0.0146,0.123,0.117,139.876,audio_features,3O2pB9JHreUZ9F83qSNmu8,spotify:track:3O2pB9JHreUZ9F83qSNmu8,https://api.spotify.com/v1/tracks/3O2pB9JHreUZ9F83qSNmu8,https://api.spotify.com/v1/audio-analysis/3O2pB9JHreUZ9F83qSNmu8,206560,4
2153,Steve Miller Band,Come On [Let The Good Times Roll],0.567,0.772,11,-6.716,0,0.0506,0.0901,0.000302,0.104,0.82,139.764,audio_features,2Q0gXHH5fufFb6aEweC4fo,spotify:track:2Q0gXHH5fufFb6aEweC4fo,https://api.spotify.com/v1/tracks/2Q0gXHH5fufFb6aEweC4fo,https://api.spotify.com/v1/audio-analysis/2Q0gXHH5fufFb6aEweC4fo,158347,4
2154,Ray Wylie Hubbard,Lazarus,0.859,0.519,11,-7.697,0,0.037,0.559,0,0.101,0.786,100.03,audio_features,70jMKX6ydKqkrTc6jBXKL6,spotify:track:70jMKX6ydKqkrTc6jBXKL6,https://api.spotify.com/v1/tracks/70jMKX6ydKqkrTc6jBXKL6,https://api.spotify.com/v1/audio-analysis/70jMKX6ydKqkrTc6jBXKL6,194067,4
2155,JJ Grey & Mofro,99 Shades of Crazy,0.686,0.648,11,-7.442,1,0.0594,0.0562,0.00133,0.106,0.805,117.266,audio_features,7JtZqbPgw6WAlUTQedGM3K,spotify:track:7JtZqbPgw6WAlUTQedGM3K,https://api.spotify.com/v1/tracks/7JtZqbPgw6WAlUTQedGM3K,https://api.spotify.com/v1/audio-analysis/7JtZqbPgw6WAlUTQedGM3K,292440,4
2156,Delta Rae,If I Loved You,0.408,0.464,7,-5.564,1,0.0301,0.433,3.38e-05,0.106,0.263,171.19,audio_features,5i9ob4zvx3a72kPLfheUkh,spotify:track:5i9ob4zvx3a72kPLfheUkh,https://api.spotify.com/v1/tracks/5i9ob4zvx3a72kPLfheUkh,https://api.spotify.com/v1/audio-analysis/5i9ob4zvx3a72kPLfheUkh,219147,4
2157,Fraser A. Gorman,We're All Alright,0.435,0.597,0,-7.548,1,0.0415,0.55,0.00226,0.159,0.331,121.73,audio_features,0ovyliErSwnfJrWYiqAd0C,spotify:track:0ovyliErSwnfJrWYiqAd0C,https://api.spotify.com/v1/tracks/0ovyliErSwnfJrWYiqAd0C,https://api.spotify.com/v1/audio-analysis/0ovyliErSwnfJrWYiqAd0C,225022,4
2158,The Rosebuds,Nice Fox,0.686,0.49,9,-9.727,0,0.0302,0.66,2.33e-06,0.138,0.191,117.396,audio_features,1MJAg2dVWiLjvUv1229tbH,spotify:track:1MJAg2dVWiLjvUv1229tbH,https://api.spotify.com/v1/tracks/1MJAg2dVWiLjvUv1229tbH,https://api.spotify.com/v1/audio-analysis/1MJAg2dVWiLjvUv1229tbH,208187,4
2159,Ryan Bingham,Island in the Sky,0.504,0.753,0,-5.217,1,0.0288,0.00368,3.59e-05,0.0929,0.323,124.962,audio_features,7nhCTjmO17zPgaBkVSQu5f,spotify:track:7nhCTjmO17zPgaBkVSQu5f,https://api.spotify.com/v1/tracks/7nhCTjmO17zPgaBkVSQu5f,https://api.spotify.com/v1/audio-analysis/7nhCTjmO17zPgaBkVSQu5f,273074,4
2160,Alejandro Escovedo,Rosalie,0.557,0.691,7,-6.75,1,0.0254,0.174,0.00059,0.227,0.592,110.557,audio_features,2enXFFaR2M1s0hywyM90wZ,spotify:track:2enXFFaR2M1s0hywyM90wZ,https://api.spotify.com/v1/tracks/2enXFFaR2M1s0hywyM90wZ,https://api.spotify.com/v1/audio-analysis/2enXFFaR2M1s0hywyM90wZ,229467,4
2161,Amanda Shires,The Way It Dimmed,0.636,0.435,11,-14.085,1,0.0435,0.7,0.349,0.138,0.671,166.666,audio_features,2iYF1eqTlly0yAWQFlZm6F,spotify:track:2iYF1eqTlly0yAWQFlZm6F,https://api.spotify.com/v1/tracks/2iYF1eqTlly0yAWQFlZm6F,https://api.spotify.com/v1/audio-analysis/2iYF1eqTlly0yAWQFlZm6F,131107,4
